Address	Function	Instruction
code:0000BB63	code_BB63	                movx    A, @DPTR
code:0000BB66	code_BB63	                movx    A, @DPTR
code:0000BB69	code_BB63	                movx    A, @DPTR
code:0000BB70	code_BB6B	                movx    @DPTR, A
code:0000BB78	code_BB73	                movx    @DPTR, A
code:0000BB7E	code_BB7B	                movx    A, @DPTR
code:0000BB9D	code_BB93	                movx    @DPTR, A
code:0000BBA0	code_BB93	                movx    @DPTR, A
code:0000BBBE	code_BBBE	                movx    A, @DPTR
code:0000BBC3	code_BBBE	                movx    @DPTR, A
code:0000BBC7	code_BBC5	                movx    @DPTR, A
code:0000BBC8	code_BBC5	                movx    A, @DPTR
code:0000BBCB	code_BBC5	                movx    @DPTR, A
code:0000BBCC	code_BBC5	                movx    A, @DPTR
code:0000BBCF	code_BBC5	                movx    @DPTR, A
code:0000BBD0	code_BBC5	                movx    A, @DPTR
code:0000BBD5	code_BBD2	                movx    A, @DPTR
code:0000BBD8	code_BBD2	                movx    @DPTR, A
code:0000BBD9	code_BBD2	                movx    A, @DPTR
code:0000BBDC	code_BBD2	                movx    @DPTR, A
code:0000BBF5	code_BBF2	                movx    A, @DPTR
code:0000BBFC	code_BBF9	                movx    A, @DPTR
code:0000BC03	code_BC00	                movx    A, @DPTR
code:0000BC05	code_BC00	                movx    @DPTR, A
code:0000BC8E	code_BC8B	                movx    A, @DPTR
code:0000BC98	code_BC8B	                movx    A, @DPTR
code:0000BC9B	code_BC8B	                movx    @DPTR, A
code:0000BC9E	code_BC8B	                movx    A, @DPTR
code:0000BCA1	code_BC8B	                movx    @DPTR, A
code:0000BCAB	code_BC8B	                movx    @DPTR, A
code:0000BCAF	code_BC8B	                movx    A, @DPTR
code:0000BCB2	code_BC8B	                movx    @DPTR, A
code:0000BCB6	code_BC8B	                movx    A, @DPTR
code:0000BCB9	code_BC8B	                movx    @DPTR, A
code:0000BCBD	code_BC8B	                movx    A, @DPTR
code:0000BCCA	code_BC8B	                movx    @DPTR, A
code:0000BCD4	code_BC8B	                movx    @DPTR, A
